algorithm,n,m,total_time,iters_to_gap,per_iter_time,final_gap,L_g,kappa
A1-Prox-NAG,1000,100,0.013910055160522461,143,3.27295415541705e-05,7.373029465185255e-06,67970.62011282882,394.8785361328293
A1-Prox-2Phase,1000,100,0.06033730506896973,143,3.2491817484636365e-05,5.471623154562621e-10,67970.62011282882,394.8785361328293
A2-mu=1e-3,1000,100,0.16942572593688965,571,3.3885145187377927e-05,2.8445642641372615e-07,67970.62011282882,394.8785361328293
A1-Prox-NAG,1000,200,0.07009005546569824,564,3.774370245864202e-05,3.080651703690762e-05,135179.8513579895,1583.4370120960598
A1-Prox-2Phase,1000,200,0.18898296356201172,564,3.779659271240234e-05,8.592605560409083e-08,135179.8513579895,1583.4370120960598
A2-mu=1e-3,1000,200,0.19417309761047363,1031,3.8834619522094725e-05,1.0755071926382698e-06,135179.8513579895,1583.4370120960598
A1-Prox-NAG,1000,500,0.2952919006347656,5000,5.9058380126953124e-05,0.011562213720258008,333845.998824285,15209.566887616
A1-Prox-2Phase,1000,500,0.29683423042297363,5000,5.936684608459473e-05,14.467724910124762,333845.998824285,15209.566887616
A2-mu=1e-3,1000,500,0.29910874366760254,3480,5.9821748733520505e-05,0.002378519335032969,333845.998824285,15209.566887616
A1-Prox-NAG,1000,1000,0.4423699378967285,5000,8.84739875793457e-05,48.92589512854371,669256.2339473661,inf
A1-Prox-2Phase,1000,1000,0.43845415115356445,5000,8.76908302307129e-05,318.4116472497323,669256.2339473661,inf
A2-mu=1e-3,1000,1000,0.44464898109436035,3830,8.892979621887207e-05,-0.2954160879210854,669256.2339473661,inf
A1-Prox-NAG,2000,100,0.014834880828857422,128,4.509082318801648e-05,4.330152197695725e-06,134969.07086491323,357.02289910699096
A1-Prox-2Phase,2000,100,0.06946086883544922,128,4.481346376480595e-05,8.154223962719698e-10,134969.07086491323,357.02289910699096
A2-mu=1e-3,2000,100,0.2279198169708252,520,4.6523743002822043e-05,1.295162306291786e-07,134969.07086491323,357.02289910699096
A1-Prox-NAG,2000,200,0.07412314414978027,536,5.2606915649240793e-05,1.1657495573302867e-05,268941.2711142913,1105.9316968156463
A1-Prox-2Phase,2000,200,0.18986868858337402,536,5.2176061715683985e-05,1.0184429299897602e-08,268941.2711142913,1105.9316968156463
A2-mu=1e-3,2000,200,0.26697707176208496,1355,5.3395414352416994e-05,3.4828602437642076e-06,268941.2711142913,1105.9316968156463
A1-Prox-NAG,2000,500,0.4625437259674072,2703,9.250874519348144e-05,5.483795810334868e-05,661855.9414582095,5994.164590487544
A1-Prox-2Phase,2000,500,0.4633762836456299,5000,9.267525672912597e-05,2.3515061006594493,661855.9414582095,5994.164590487544
A2-mu=1e-3,2000,500,0.47188782691955566,3598,9.437756538391114e-05,0.002136974886280285,661855.9414582095,5994.164590487544
A1-Prox-NAG,2000,1000,2.759592294692993,5000,0.0005519184589385986,7.392491452828271,1324119.8120681043,35670.45961662273
A1-Prox-2Phase,2000,1000,2.759643077850342,5000,0.0005519286155700684,446.88887296336344,1324119.8120681043,35670.45961662273
A2-mu=1e-3,2000,1000,2.774369955062866,2519,0.0005548739910125732,-0.5769932664107209,1324119.8120681043,35670.45961662273
A1-Prox-NAG,5000,100,0.026762962341308594,127,8.085487112177822e-05,1.6795553747783742e-06,332963.76458391163,308.84836608164363
A1-Prox-2Phase,5000,100,0.09121918678283691,127,7.836699895432725e-05,1.1114593689853791e-09,332963.76458391163,308.84836608164363
A2-mu=1e-3,5000,100,0.3856680393218994,610,8.048164426583878e-05,1.414774288832632e-07,332963.76458391163,308.84836608164363
A1-Prox-NAG,5000,200,0.13710689544677734,449,0.00012407863841337315,4.570691771732527e-06,664020.0832216362,932.2405661471364
A1-Prox-2Phase,5000,200,0.342998743057251,449,0.00012293861758324407,1.5425229094034876e-08,664020.0832216362,932.2405661471364
A2-mu=1e-3,5000,200,0.6344680786132812,1363,0.00012689361572265626,1.150635952740231e-06,664020.0832216362,932.2405661471364
A1-Prox-NAG,5000,500,4.080452919006348,2238,0.0008286866204318334,1.7365236523403382e-05,1635997.918326966,4193.775430460905
A1-Prox-2Phase,5000,500,4.156275033950806,5000,0.0008312550067901611,1.2651682142091474,1635997.918326966,4193.775430460905
A2-mu=1e-3,5000,500,4.148543119430542,3956,0.0008297086238861084,0.0038823618937016136,1635997.918326966,4193.775430460905
A1-Prox-NAG,5000,1000,11.622244119644165,5000,0.002324448823928833,0.7298392191988938,3268316.877530671,15692.73672666367
A1-Prox-2Phase,5000,1000,11.615943908691406,5000,0.002323188781738281,622.684730903107,3268316.877530671,15692.73672666367
A2-mu=1e-3,5000,1000,11.46872615814209,4098,0.002293745231628418,-0.09691877069738553,3268316.877530671,15692.73672666367
