algorithm,lambda,exact_zeros,near_zeros,f_total
sklearn-ref,0.0001,0.0,0.0,18.397924148315187
A1-Sub-NAG,0.0001,0.0,0.0,18.397924148415193
A1-Prox-NAG,0.0001,0.0,0.0,18.397924149453374
A1-Prox-2Phase,0.0001,0.0,0.0,18.397924160579272
A2-mu=1e-3,0.0001,0.0,0.0,18.397926905745948
sklearn-ref,0.001,0.0,0.0,18.45306830275301
A1-Sub-NAG,0.001,0.0,0.0,18.45306830285482
A1-Prox-NAG,0.001,0.0,0.0,18.453068418268447
A1-Prox-2Phase,0.001,0.0,0.0,18.453068314852267
A2-mu=1e-3,0.001,0.0,0.0,18.453071125083845
sklearn-ref,0.01,0.0,0.0,19.004496943809194
A1-Sub-NAG,0.01,0.0,0.0,19.004496943910272
A1-Prox-NAG,0.01,0.0,0.0,19.004508601304767
A1-Prox-2Phase,0.01,0.0,0.0,19.004496953993623
A2-mu=1e-3,0.01,0.0,0.0,19.004500426669438
sklearn-ref,0.1,0.01,0.01,24.51749412522897
A1-Sub-NAG,0.1,0.0,0.005,24.517494162610234
A1-Prox-NAG,0.1,0.0,0.0,24.518659932121615
A1-Prox-2Phase,0.1,0.01,0.01,24.517494191684623
A2-mu=1e-3,0.1,0.0,0.0,24.517557172722512
sklearn-ref,1.0,0.115,0.115,79.53510855030223
A1-Sub-NAG,1.0,0.0,0.02,79.5351456180095
A1-Prox-NAG,1.0,0.01,0.01,79.63520095980034
A1-Prox-2Phase,1.0,0.115,0.115,79.53511086846052
A2-mu=1e-3,1.0,0.0,0.0,79.53896859142188
